p_id,p_id2,distance_mean,distance_median,distance_std
H3N5,H7N3,2.08547619048,2.11,0.226107879656
H3N5,H10N7,2.05119047619,2.02,0.150936795049
H3N5,H2N5,2.25166666667,2.16,0.268167650713
H3N5,H2N7,2.255,2.305,0.156923548265
H3N5,H2N1,2.13333333333,2.145,0.0631576510717
H3N5,H2N2,2.13186666667,2.11,0.144089725133
H3N5,H2N3,2.33041666667,2.3,0.235592854424
H3N5,H1N2,2.51431472081,2.52,0.227907042609
H3N5,H1N1,2.54053959965,2.54,0.236960124234
H3N5,H2N9,2.18666666667,2.14,0.174610678049
H3N5,H9N2,2.3286,2.33,0.125968408738
H3N5,H9N1,2.31555555556,2.33,0.11982497524
H3N5,H9N7,2.23333333333,2.18,0.0825967446224
H3N5,H9N6,2.21333333333,2.25,0.0895668589503
H3N5,H9N5,2.365,2.355,0.07320063752
H3N5,H9N9,2.37,2.37,0.0979795897113
H3N5,H7N2,2.05444444444,2.04,0.210982416914
H3N7,H3N6,1.0775,1.2,0.254202183311
H3N7,H5N9,2.025,2.025,0.075
H3N7,H5N8,2.29,2.29,0.0
H3N7,H5N7,2.26,2.26,0.0
H3N7,H5N6,2.49,2.49,0.0
H3N7,H5N5,2.136,2.16,0.0773563184233
H3N7,H5N3,2.135,2.095,0.125797456254
H3N7,H5N2,2.12529411765,2.12,0.113972011376
H3N7,H5N1,2.27610687023,2.27,0.152358418919
H3N7,H10N8,2.035,2.035,0.195
H3N7,H7N9,2.08,2.08,0.0
H3N7,H7N8,2.01,2.01,0.0
H3N7,H7N4,1.98,1.98,0.0
H3N7,H7N7,2.06583333333,2.035,0.150302934842
H3N7,H10N3,2.09,2.09,0.0
H3N7,H7N1,2.28,2.22,0.129614813968
H3N7,H7N3,2.25285714286,2.285,0.222146302224
H3N7,H10N7,2.02285714286,1.985,0.13079037598
H3N7,H2N5,2.21,2.19,0.126885775404
H3N7,H2N7,2.05,2.045,0.0587367006224
H3N7,H2N1,2.14,2.14,0.03
H3N7,H2N2,2.064,2.06,0.099518842437
H3N7,H2N3,2.2325,2.27,0.11377060253
H3N7,H1N2,2.28446700508,2.26,0.133433171842
H3N7,H1N1,2.34558746736,2.32,0.162532525926
H3N7,H2N9,2.41,2.41,0.0
H3N7,H9N2,2.239,2.255,0.131030530793
H3N7,H9N1,2.36,2.31,0.0852447456836
H3N7,H9N7,2.33,2.33,0.0
H3N7,H9N6,2.23,2.23,0.0
H3N7,H9N5,2.425,2.425,0.105
H3N7,H9N9,2.19,2.19,0.0
H3N7,H7N2,2.17,2.08,0.209920619918
H3N6,H5N9,2.18875,2.15,0.112964319588
H3N6,H5N8,2.5025,2.535,0.116913429511
H3N6,H5N7,2.35,2.35,0.0921954445729
H3N6,H5N6,2.595,2.54,0.119687092036
H3N6,H5N5,2.2625,2.285,0.099089605913
H3N6,H5N3,2.284375,2.21,0.19538323719
H3N6,H5N2,2.29897058824,2.28,0.158940792767
H3N6,H5N1,2.42780534351,2.42,0.187336575829
H3N6,H10N8,1.96375,1.93,0.11852610472
H3N6,H7N9,2.0225,2.05,0.0694172168846
H3N6,H7N8,1.855,1.845,0.121346610995
H3N6,H7N4,1.835,1.845,0.146714007511
H3N6,H7N7,1.90583333333,1.87,0.153036397268
H3N6,H10N3,1.9825,1.995,0.116484977572
H3N6,H7N1,2.035,2.085,0.223364425696
H3N6,H7N3,2.05803571429,2.05,0.212101892991
H3N6,H10N7,1.96071428571,1.955,0.128963687343
H3N6,H2N5,2.281875,2.15,0.286710192311
H3N6,H2N7,2.2025,2.2,0.100964102532
H3N6,H2N1,2.215,2.215,0.0683739716559
H3N6,H2N2,2.1763,2.155,0.104332689029
H3N6,H2N3,2.3428125,2.285,0.181766236809
H3N6,H1N2,2.46835025381,2.45,0.178632194967
H3N6,H1N1,2.52029373368,2.48,0.214955772699
H3N6,H2N9,2.245,2.215,0.0934077084613
H3N6,H9N2,2.2894,2.28,0.106248011746
H3N6,H9N1,2.28,2.275,0.0872735164106
H3N6,H9N7,2.27,2.275,0.134721935853
H3N6,H9N6,2.205,2.19,0.100374299499
H3N6,H9N5,2.38125,2.395,0.110841948287
H3N6,H9N9,2.2425,2.23,0.0521416340365
H3N6,H7N2,2.025,1.94,0.252041663223
H5N9,H5N8,1.805,1.805,0.105
H5N9,H5N7,1.305,1.305,0.055
H5N9,H5N6,1.805,1.805,0.135
H5N9,H5N5,1.234,0.985,0.430260386278
H5N9,H5N3,0.98625,0.87,0.308258718449
H5N9,H5N2,1.00558823529,1.01,0.232659700705
H5N9,H5N1,1.68125954198,1.74,0.341528246745
H5N9,H10N8,2.3925,2.405,0.198667435681
H5N9,H7N9,2.485,2.485,0.115
H5N9,H7N8,2.245,2.245,0.105
H5N9,H7N4,2.505,2.505,0.055
H5N9,H7N7,2.455,2.46,0.166282891483
H5N9,H10N3,2.44,2.44,0.07
H5N9,H7N1,2.56,2.54,0.205669638012
H5N9,H7N3,2.65607142857,2.6,0.196165733241
H5N9,H10N7,2.38285714286,2.395,0.164226697474
H5N9,H2N5,1.56375,1.51,0.302032179577
H5N9,H2N7,1.165,1.14,0.184255257727
H5N9,H2N1,1.275,1.35,0.204633819297
H5N9,H2N2,1.2556,1.205,0.199771469434
H5N9,H2N3,1.445625,1.44,0.29321427212
H5N9,H1N2,1.97921319797,2.03,0.292717254522
H5N9,H1N1,1.95630548303,1.985,0.338676283043
H5N9,H2N9,1.74,1.74,0.11
H5N9,H9N2,1.8407,1.84,0.159745140771
H5N9,H9N1,1.995,1.96,0.161632298752
H5N9,H9N7,1.93,1.93,0.12
H5N9,H9N6,1.86,1.86,0.15
H5N9,H9N5,1.9425,1.94,0.153195136999
H5N9,H9N9,1.755,1.755,0.095
H5N9,H7N2,2.54,2.57,0.194250697124
H5N8,H5N7,1.95,1.95,0.0
H5N8,H5N6,0.79,0.79,0.0
H5N8,H5N5,1.604,1.73,0.376170174256
H5N8,H5N3,1.795,1.8,0.101365674664
H5N8,H5N2,1.69823529412,1.69,0.13147289115
H5N8,H5N1,1.06671755725,0.96,0.355548050774
H5N8,H10N8,2.575,2.575,0.115
H5N8,H7N9,2.74,2.74,0.0
H5N8,H7N8,2.51,2.51,0.0
H5N8,H7N4,2.72,2.72,0.0
H5N8,H7N7,2.66166666667,2.645,0.1558756627
H5N8,H10N3,2.72,2.72,0.0
H5N8,H7N1,2.88333333333,2.9,0.118977121984
H5N8,H7N3,2.88571428571,2.865,0.172863045944
H5N8,H10N7,2.535,2.47,0.182668708713
H5N8,H2N5,2.025,2.23,0.445897970392
H5N8,H2N7,1.7525,1.77,0.13863170633
H5N8,H2N1,2.0,2.0,0.14
H5N8,H2N2,1.9532,1.97,0.291653493036
H5N8,H2N3,1.755,1.885,0.467038542307
H5N8,H1N2,1.58842639594,1.57,0.197402063139
H5N8,H1N1,1.62754569191,1.56,0.318500455793
H5N8,H2N9,2.61,2.61,0.0
H5N8,H9N2,2.2998,2.265,0.205158377845
H5N8,H9N1,2.46666666667,2.3,0.279205221218
H5N8,H9N7,2.43,2.43,0.0
H5N8,H9N6,2.37,2.37,0.0
H5N8,H9N5,2.365,2.365,0.075
H5N8,H9N9,2.14,2.14,0.0
H5N8,H7N2,2.83,2.77,0.305068298364
H5N7,H5N6,1.92,1.92,0.0
H5N7,H5N5,1.566,1.37,0.337792835922
H5N7,H5N3,1.4075,1.325,0.281102739225
H5N7,H5N2,1.30529411765,1.28,0.132270562598
H5N7,H5N1,1.84419847328,1.91,0.304603243878
H5N7,H10N8,2.535,2.535,0.165
H5N7,H7N9,2.51,2.51,0.0
H5N7,H7N8,2.4,2.4,0.0
H5N7,H7N4,2.51,2.51,0.0
H5N7,H7N7,2.48833333333,2.47,0.104149998666
H5N7,H10N3,2.47,2.47,0.0
H5N7,H7N1,2.49333333333,2.43,0.0895668589503
H5N7,H7N3,2.66785714286,2.685,0.185940795932
H5N7,H10N7,2.45714285714,2.44,0.11701212217
H5N7,H2N5,1.7825,1.825,0.187399973319
H5N7,H2N7,1.4575,1.495,0.119032558571
H5N7,H2N1,1.725,1.725,0.125
H5N7,H2N2,1.6004,1.57,0.147444362388
H5N7,H2N3,1.68375,1.55,0.235209348241
H5N7,H1N2,2.14939086294,2.23,0.266596587801
H5N7,H1N1,2.08835509138,2.14,0.262631112141
H5N7,H2N9,1.78,1.78,0.0
H5N7,H9N2,2.1214,2.095,0.0957707679827
H5N7,H9N1,2.17666666667,2.19,0.0984321537349
H5N7,H9N7,2.05,2.05,0.0
H5N7,H9N6,2.14,2.14,0.0
H5N7,H9N5,2.025,2.025,0.115
H5N7,H9N9,2.14,2.14,0.0
H5N7,H7N2,2.55666666667,2.48,0.130213499897
H5N6,H5N5,1.54,1.78,0.40119820538
H5N6,H5N3,1.91,1.9,0.0966953980291
H5N6,H5N2,1.68411764706,1.65,0.159670941904
H5N6,H5N1,1.07458015267,0.98,0.353935905575
H5N6,H10N8,2.58,2.58,0.13
H5N6,H7N9,2.7,2.7,0.0
H5N6,H7N8,2.58,2.58,0.0
H5N6,H7N4,2.87,2.87,0.0
H5N6,H7N7,2.7725,2.745,0.165435032566
H5N6,H10N3,2.62,2.62,0.0
H5N6,H7N1,2.95333333333,2.96,0.114406682012
H5N6,H7N3,2.93571428571,2.955,0.166549618763
H5N6,H10N7,2.61642857143,2.56,0.168166887468
H5N6,H2N5,2.085,2.265,0.412583324918
H5N6,H2N7,1.7825,1.81,0.106389614155
H5N6,H2N1,2.11,2.11,0.09
H5N6,H2N2,2.0056,2.01,0.258179472461
H5N6,H2N3,1.79125,1.81,0.414711872871
H5N6,H1N2,1.63664974619,1.63,0.175727477526
H5N6,H1N1,1.64349869452,1.62,0.296371933734
H5N6,H2N9,2.55,2.55,0.0
H5N6,H9N2,2.3364,2.315,0.176371879845
H5N6,H9N1,2.51666666667,2.45,0.193620476419
H5N6,H9N7,2.52,2.52,0.0
H5N6,H9N6,2.52,2.52,0.0
H5N6,H9N5,2.38,2.38,0.04
H5N6,H9N9,2.14,2.14,0.0
H5N6,H7N2,2.85333333333,2.76,0.139124245031
H5N5,H5N3,1.308,1.54,0.481773805847
H5N5,H5N2,1.318,1.29,0.383757889361
H5N5,H5N1,1.50607633588,1.63,0.453762247635
H5N5,H10N8,2.404,2.375,0.149479095528
H5N5,H7N9,2.43,2.49,0.123773987574
H5N5,H7N8,2.308,2.39,0.101666120217
H5N5,H7N4,2.522,2.52,0.0534415568635
H5N5,H7N7,2.45733333333,2.46,0.131565784137
H5N5,H10N3,2.434,2.51,0.122735487941
H5N5,H7N1,2.56466666667,2.56,0.153095467674
H5N5,H7N3,2.59914285714,2.61,0.180124899977
H5N5,H10N7,2.371,2.34,0.129528264979
H5N5,H2N5,1.5815,1.49,0.35958691578
H5N5,H2N7,1.3875,1.35,0.297655421587
H5N5,H2N1,1.415,1.325,0.277101064596
H5N5,H2N2,1.47472,1.41,0.333324048937
H5N5,H2N3,1.5485,1.545,0.37919355216
H5N5,H1N2,1.91462944162,1.92,0.327000659349
H5N5,H1N1,1.88092428198,1.88,0.356063379242
H5N5,H2N9,1.8,1.62,0.314133729485
H5N5,H9N2,1.9528,1.93,0.162788697396
H5N5,H9N1,2.01933333333,2.01,0.186599988091
H5N5,H9N7,1.994,1.93,0.146505972574
H5N5,H9N6,1.998,1.93,0.132875881935
H5N5,H9N5,1.998,1.935,0.173712406005
H5N5,H9N9,1.932,1.87,0.0941063228481
H5N5,H7N2,2.48266666667,2.44,0.163522339622
H5N3,H5N2,1.13426470588,1.15,0.344124277211
H5N3,H5N1,1.73167938931,1.79,0.335916548778
H5N3,H10N8,2.445,2.44,0.224666419387
H5N3,H7N9,2.495,2.37,0.27807373123
H5N3,H7N8,2.2975,2.195,0.230583498976
H5N3,H7N4,2.5875,2.47,0.27940785601
H5N3,H7N7,2.51416666667,2.44,0.24930598112
H5N3,H10N3,2.445,2.325,0.255
H5N3,H7N1,2.605,2.525,0.259631148619
H5N3,H7N3,2.68053571429,2.65,0.283104092687
H5N3,H10N7,2.42017857143,2.345,0.214513495009
H5N3,H2N5,1.5975,1.44,0.364202896749
